order_id,customer_id,order_date,status,region,amount
ORD-0001,CUST-1001,2025-01-01,pending,North,52.75
ORD-0002,CUST-1002,2025-01-02,shipped,South,56.00
ORD-0003,CUST-1003,2025-01-03,delivered,East,59.25
ORD-0004,CUST-1004,2025-01-04,cancelled,West,62.50
ORD-0005,CUST-1005,2025-01-05,pending,North,65.75
ORD-0006,CUST-1006,2025-01-06,shipped,South,69.00
ORD-0007,CUST-1007,2025-01-07,delivered,East,72.25
ORD-0008,CUST-1008,2025-01-08,cancelled,West,75.50
ORD-0009,CUST-1009,2025-01-09,pending,North,78.75
ORD-0010,CUST-1010,2025-01-10,shipped,South,82.00
ORD-0005,CUST-1011,2025-01-11,delivered,East,85.25
ORD-0005,CUST-1012,2025-01-12,cancelled,West,88.50
ORD-0013,CUST-1013,2025-01-13,pending,North,91.75
ORD-0014,CUST-1014,2025-01-14,shipped,South,95.00
ORD-0015,CUST-1015,2025-01-15,delivered,East,98.25
ORD-0016,CUST-1016,2025-01-16,cancelled,West,101.50
ORD-0017,CUST-1017,2025-01-17,pending,North,104.75
ORD-0018,CUST-1018,2025-01-18,shipped,South,108.00
ORD-0019,CUST-1019,2025-01-19,delivered,East,111.25
ORD-0020,CUST-1020,2025-01-20,cancelled,West,114.50
ORD-0021,CUST-1021,2025-01-21,pending,North,117.75
ORD-0022,CUST-1022,2025-01-22,shipped,South,121.00
ORD-0023,CUST-1023,2025-01-23,delivered,East,124.25
ORD-0024,CUST-1024,2025-01-24,cancelled,West,127.50
ORD-0025,CUST-1025,2025-01-25,pending,North,130.75
ORD-0026,CUST-1026,2025-01-26,shipped,South,134.00
ORD-0027,CUST-1027,2025-01-27,delivered,East,137.25
ORD-0028,CUST-1028,2025-01-28,cancelled,West,140.50
ORD-0029,CUST-1029,2025-01-29,pending,North,143.75
ORD-0030,CUST-1030,2025-01-30,shipped,South,147.00
