order_id,customer_id,order_date,status,amount,sales_channel
ORD-0001,CUST-1001,2025-01-01,pending,52.75,online
ORD-0002,CUST-1002,2025-01-02,shipped,56.00,online
ORD-0003,CUST-1003,2025-01-03,delivered,59.25,online
ORD-0004,CUST-1004,2025-01-04,cancelled,62.50,online
ORD-0005,CUST-1005,2025-01-05,pending,65.75,online
ORD-0006,CUST-1006,2025-01-06,shipped,69.00,online
ORD-0007,CUST-1007,2025-01-07,delivered,72.25,online
ORD-0008,CUST-1008,2025-01-08,cancelled,75.50,online
ORD-0009,CUST-1009,2025-01-09,pending,78.75,online
ORD-0010,CUST-1010,2025-01-10,shipped,82.00,online
ORD-0011,CUST-1011,2025-01-11,delivered,85.25,online
ORD-0012,CUST-1012,2025-01-12,cancelled,88.50,online
ORD-0013,CUST-1013,2025-01-13,pending,91.75,online
ORD-0014,CUST-1014,2025-01-14,shipped,95.00,online
ORD-0015,CUST-1015,2025-01-15,delivered,98.25,online
ORD-0016,CUST-1016,2025-01-16,cancelled,101.50,online
ORD-0017,CUST-1017,2025-01-17,pending,104.75,online
ORD-0018,CUST-1018,2025-01-18,shipped,108.00,online
ORD-0019,CUST-1019,2025-01-19,delivered,111.25,online
ORD-0020,CUST-1020,2025-01-20,cancelled,114.50,online
ORD-0021,CUST-1021,2025-01-21,pending,117.75,online
ORD-0022,CUST-1022,2025-01-22,shipped,121.00,online
ORD-0023,CUST-1023,2025-01-23,delivered,124.25,online
ORD-0024,CUST-1024,2025-01-24,cancelled,127.50,online
ORD-0025,CUST-1025,2025-01-25,pending,130.75,online
ORD-0026,CUST-1026,2025-01-26,shipped,134.00,online
ORD-0027,CUST-1027,2025-01-27,delivered,137.25,online
ORD-0028,CUST-1028,2025-01-28,cancelled,140.50,online
ORD-0029,CUST-1029,2025-01-29,pending,143.75,online
ORD-0030,CUST-1030,2025-01-30,shipped,147.00,online
